THERMODYNAMICS			QUANTITIES	UNITS				THERMODYNAMICS
5-10.1 ( 4-10.1 ) 5-10.2 ( 4-10.2 )	coefficient of heat transfer fr coefficient  (m) de  transmission thermique surface coefficient of heat transfer fr coefficient  (m) de  transmission thermique de surface	K , ( k ) h , ( α )	areic heat flow rate (item 5-8) divided by thermodynamic temperature (item 5-1) difference q  =  h ( T s  −   T r ) where  q  is areic heat flow rate (item 5-8),  T s  is the thermodynamic temperature (item 5-1) of the surface, and  T r  is a reference thermodynamic temperature characteristic of the adjacent surroundings	In building technology, the coefficient of heat transfer is often called thermal transmittance, with the symbol  U  .	5-10.a	watt per square metre kelvin	W m 2  · K		
5-11 ( 4-11 )	thermal insulance, coefficient of thermal insulance fr coefficient  (m)  d'isolation thermique	M	M  =  1 /K where  K  is coefficient of heat transfer (item 5-10.1)	In building technology, this quantity is often called thermal resistance, with the symbol  R .	5-11.a	square metre kelvin per watt	m 2 · K/W		
5-12 ( 4-12 )	thermal resistance fr résistance  (f) thermique	R	thermodynamic temperature (item 5-1) difference divided by heat flow rate (item 5-7)	See remark to 5-11.	5-12.a	kelvin per watt	K/W		
5-13 ( 4-13 )	thermal  conductance fr conductance  (f) thermique	G , ( H )	G  =  1 /R where  R  is thermal resistance (item 5-12)	See remark to 5-11. This quantity is also called heat transfer coefficient.	5-13.a	watt per kelvin	W/K		
5-14 ( 4-14 )	thermal diffusivity fr diffusivité  (f) thermique	a	a =  λ  ρc p where  λ  is thermal conductivity (item 5-9),  ρ  is mass density ( ISO 80000-4:2006,  item 4-2), and  c p  is specific heat capacity at constant pressure (item 5-16.2)		5-14.a	square metre per second	m 2 /s		
5-15 ( 4-15 )	heat capacity fr capacité  (f) thermique	C	when the thermodynamic temperature of a system is increased by d T  as a result of the addition of a  small  amount of heat d Q , C  =  d Q/ d T where  Q  is amount of heat (item 5-6) and  T  is thermodynamic temperature (item 5-1)	Heat capacity is not completely defined  unless the type of change is specified.	5-15.a	joule per kelvin	J/K		
5-16.1 ( 4-16.1 ); 5-16.2 ( 4-16.2 ); 5-16.3 ( 4-16.3 ); 5-16.4 ( 4-16.4 )	specific heat capacity fr capacité  (f) thermique massique specific heat capacity at constant pressure fr capacité  (f) thermique massique à pression constante specific heat capacity at constant volume fr capacité  (f) thermique massique à volume constant specific heat capacity at saturation fr capacité  (f) thermique massique à saturation	c; c p; c V; c sat	heat capacity (item 5-15) divided by mass; ( ISO 80000-4:2006,  item 4-1)	For the corresponding molar quantities, see; ISO 80000-9:2009 .	5-16.a	joule per kilogram kelvin	J/(kg·K)		
5-17.1 ( 4-17.1 ) 5-17.2 ( 4-17.2 )	ratio of the specific heat capacities fr rapport  (m ) des capacités thermiques massiques isentropic exponent fr exposant  (m) isentropique	γ κ	γ  =   c p /c V where  c p  is specific heat capacity at constant pressure (item 5-16.2) and  c V  is specific heat capacity at constant volume (item 5-16.3) κ  =  −   p  (    V  \ V  p S where  V   is volume (ISO 80000-3:2006, item 3-4),  p is pressure ( ISO 80000-4:200 6, item 4-15.1), and  S  is entropy (item 5-18)	For   an   ideal   gas,   κ   is   equal   to   γ .	5-17.a	one	1		See the Introduction, 0.3.2.
5-18 ( 4-18 )	entropy fr entropie  (f)	S	when a small amount of heat (item 5-6) d Q  is received by a; system whose thermodynamic; temperature (item 5-1) is  T  , the; entropy of the system increases; by d Q/T  , provided that no; irreversible change takes place; in the system		5-18.a	joule per kelvin	J/K		
5-19 ( 4-19 )	specific entropy fr entropie  (f) massique	s	s  =  S/m where   S   is   entropy   (item   5-18) and  m  is   mass; ( ISO 80000-4:2006,  item 4-1)	For the corresponding molar quantities, see ISO 80000-9:2009 .	5-19.a	joule per kilogram kelvin	J/(kg·K)		
5-20.1 ( 4-20.1 ); 5-20.2 ( 4-20.2 ); 5-20.3 ( 4-20.3 ); 5-20.4 ( 4-20.4 ); 5-20.5 ( 4-20.5 )	energy fr énergie  (f) internal energy, thermodynamic energy fr énergie  (f) interne, énergie  (f)   thermo- dynamique enthalpy fr enthalpie  (f) Helmholtz energy, Helmholtz function  fr énergie  (f)  libre Gibbs energy, Gibbs function fr enthalpie  (f)  libre	E; U; H; A ,  F; G	quantity characterizing the ability of a system to do work; ( ISO 80000-4:2006,  item; 4-27.1); for a closed thermodynamic system,; ∆ U  =  Q  +  W; where  Q  is amount of heat (item; 5-6) transferred to the system; and  W  is work; ( ISO 80000-4:2006,  item; 4-27.1) done on the system; provided that no chemical; reactions occur; H  =  U  +  pV where  U  is internal energy (item; 5-20.2),  p  is pressure; ( ISO 80000-4:2006,  item; 4-15.1), and  V  is volume; (ISO 80000-3:2006, item 3-4); A  =  U  −   TS   where  U  is internal energy (item; 5-20.2),  T   is thermodynamic; temperature   (item   5-1),   and   S   is; entropy (item 5-18); G  =  H  −   TS   where  H  is enthalpy (item; 5-20.3),  T   is thermodynamic; temperature   (item   5-1),   and   S   is; entropy (item 5-18)	Energy exists in different forms that are mutually transformable; into each other, either totally or; partially.; The name Helmholtz free energy is also used.; The name Gibbs free energy is also used.	5-20.a	joule	J		
5-21.1 ( 4-21.1 ); 5-21.2 ( 4-21.2 ); 5-21.3 ( 4-21.3 ); 5-21.4 ( 4-21.4 ); 5-21.5 ( 4-21.5 )	specific energy fr énergie  (f) massique specific internal energy, specific thermodynamic energy fr énergie  (f)  interne massique , énergie  (f)  thermo-  dynamique  massique specific enthalpy fr enthalpie  (f) massique specific Helmholtz energy, specific Helmholtz function fr énergie  (f)  libre massique specific Gibbs energy, specific Gibbs function fr enthalpie  (f)  libre massique	e; u; h; a ,  f; g	e  =  E/m where   E   is   energy   (item   5-20.1); and  m  is mass; ( ISO 80000-4:2006,  item 4-1); u  =  U/m where  U  is thermodynamic; energy (item 5-20.2) and  m  is; mass ( ISO 80000-4:2006 , item; 4-1); h  =  H/m where  H  is enthalpy (item; 5-20.3) and  m  is mass; ( ISO 80000-4:2006,  item 4-1); a  =  A/m where  A  is Helmholtz energy; (item 5-20.4) and  m  is mass; ( ISO 80000-4:2006,  item 4-1); g   =  G/m where  G  is Gibbs energy (item; 5-20.5) and  m  is mass; ( ISO 80000-4:2006,  item 4-1)	The name specific Helmholtz free energy is also used.; The name specific Gibbs free energy is also used.	5-21.a	joule per kilogram	J/kg		
5-22 ( 4-22 )	Massieu function  fr fonction  (f)  de Massieu	J	J  =  − A/T where  A  is Helmholtz energy; (item 5-20.4) and  T  is; thermodynamic temperature; (item 5-1)		5-22.a	joule per kelvin	J/K		
5-23 ( 4-23 )	Planck function  fr fonction  (f)   de Planck	Y	Y   =  − G/T where  G  is Gibbs energy (item 5-20.5) and  T  is thermodynamic; temperature (item 5-1)		5-23.a	joule per kelvin	J/K		
5-24  (—)	mass concentration of water fr concentration  (f)  en masse d'humidité	w	w  =  m/V where  m  is mass; ( ISO 80000-4:2006,  item 4-1) of; water, irrespective of the form of; aggregation, and  V  is volume; (ISO 80000-3:2006, item 3-4)	Mass concentration of water at saturation is denoted  w sat .	5-24.a	kilogram per cubic metre	kg/m 3		
5-25  (—)	mass concentration of water vapour fr concentration  (f)  en masse de vapeur d'eau	v	v  =  m/V where  m  is mass ( ISO 80000-4:2006,  item 4-1) of; water vapour and  V  is total gas; volume (ISO 80000-3:2006,; item 3-4)	Mass concentration of water vapour at saturation is denoted  v sat .	5-25.a	kilogram per cubic metre	kg/m 3		
5-26  (—)	mass ratio of water to dry matter fr rapport  (m)  de la masse d’humidité à la masse de  matière sèche	u	u  =  m/m d where  m  is mass; ( ISO 80000-4:2006,  item 4-1) of; water and  m d  is mass of dry; matter	Mass ratio of water to dry matter at saturation is denoted  u sat .	5-26.a	one	1		See the Introduction, 0.3.2.
5-27  (—)	mass ratio of   water vapour to dry gas fr rapport  (m)  de la masse de vapeur d'eau à la masse   de gaz   sec	x	x  =  m/m d where  m  is mass; ( ISO 80000-4:2006,  item 4-1) of; water vapour and  m d  is mass of; dry gas	Mass ratio of water vapour to dry gas at saturation is denoted  x sat .	5-27.a	one	1		See the Introduction, 0.3.2.
5-28  (—)	mass fraction of water fr fraction  (f) massique  d'humidité	w H 2 O	w = u H 2 O 1  +   u where   u   is   mass   ratio   of   water   to  dry  matter (item   5-26)		5-28.a	one	1		See the Introduction, 0.3.2.
5-29  (—)	mass fraction of dry matter fr fraction  (f) massique de matière sèche	w d	w d   =   1   −   w H 2 O where   w H 2 O   is   mass   fraction   of  water (item 5-28)		5-29.a	one	1		See the Introduction, 0.3.2.
5-30  (—)	relative partial pressure, relative humidity fr humidité  (f) relative	ϕ	ϕ  =  p/p sat where  p  is partial pressure ( ISO 80000-4:2006,  item; 4-15.1) of vapour and  p sat  is its; partial pressure at saturation (at; the same temperature)	Relative partial pressure is often referred to as RH and   expressed in   percent.	5-30.a	one	1		See the Introduction, 0.3.2.
5-31  (—)	relative mass concentration of vapour fr concentration  (f)  relative en masse de vapeur d'eau	ϕ	ϕ  =  v/v sat where  v  is mass concentration of water vapour (item 5-25) and  v sat  is its mass concentration of water vapour at saturation (at; the same temperature)	For normal cases, the relative partial pressure (item 5-30) may be assumed to be equal to relative mass concentration of  vapour.	5-31.a	one	1		See the Introduction, 0.3.2.
5-32  (—)	relative mass ratio of vapour fr rapport  (m)  relatif de masse de vapeur	ψ	ψ  =  x/x sat where  x  is mass ratio of water; vapour to dry gas (item 5-27); and  x sat  is its mass ratio of; water vapour to dry gas at; saturation (at the same; temperature)		5-32.a	one	1		See the Introduction, 0.3.2.
5-33  (—)	dew point  temperature fr température  (f)  du point de rosée , température  (f) de rosée	T d	temperature at which vapour in the air reaches saturation	The corresponding Celsius temperature is denoted  t d . This; quantity is also called dew point.	5-33.a	kelvin	K		The unit  for  the corresponding Celsius temperature is   degree Celsius, symbol   ◦ C.
