PHYSICAL CHEMISTRY AND MOLECULAR PHYSICS	QUANTITIES	UNITS			PHYSICAL CHEMISTRY AND MOLECULAR PHYSICS
Item No.	Name	Symbol	Definition	Remarks	Item No.	Name	Inter-  national  symbol	Definition	Conversion factors and remarks
9-13 ( 8-13 )	amount-of- substance  concentration  of B fr concentration  (f)  en quantité de  matière du constituant B	c B	c B  =  n B /V where  n B  is the amount of substance (item 9-1) of B and  V  is the volume (ISO 80000-3:2006, item 3-4) of the solution	In chemistry, the name “amount-of-substance concentration” is generally abbreviated to the single word “concentration”, it being assumed that the adjective; “amount-of-substance” is; intended. For this reason,; however, the word “mass”; should never be omitted from; the name “mass; concentration” in 9-11.2.; The standard concentration,; 1 mol/dm 3 , is denoted  c − e .	9-13.a 9-13.b	mole per cubic metre mole per litre	mol/m 3 mol/l		1 mol/l  =  1 mol/dm 3  =  10 3  mol/m 3	
9-14 ( 8-14.1 )	amount-of- substance fraction of B, (mole fraction of substance B) fr fraction  (f) molaire du  constituant B	x B ,  y B	x B  =  n B /n where  n B  is the amount of substance (item 9-1) of B and  n  is the total amount of substance (item; 9-1) in the mixture	For condensed phases,  x B  is used, and for gaseous mixtures  y B  may be used. The unsystematic name “mole; fraction” is still used. However,; the use of this name is; deprecated.; For this quantity, the entity; used to define the amount of; substance should always be a; single molecule for every; species in the mixture.	9-14.a	one	1		See the Introduction, 0.3.2.
9-15 ( 8-15 )	volume fraction of substance B fr fraction  (f) volumique du  constituant B	ϕ B	ϕ      = x B V m ∗ ,B B ),   x   V   ∗ i  m, i w he re   t h e   V m ∗ , i   i s   t h e   m ol a r  volume (item 9-6) of the pure substances  i  at the same temperature and pressure,  x i  denotes the amount-of-substance fraction (item 9-14) of substance  i  and  Σ  denotes summation over all substances   i	ϕ B  is temperature-dependent.	9-15.a	one	1		See the Introduction, 0.3.2.
9-16 ( 8-16 )	molality of solute B fr molalité  (f)  du  soluté B	b B ,  m B	b B  =  n B /m A where  n B  is the amount of substance (item 9-1) of solute B and  m A  is the mass ( ISO 80000-4:200 6, item 4-1) of the solvent substance A	The alternative symbol  m B  should be avoided in situations where it might be mistaken for the mass of substance B. However, the symbol  m  is much more commonly used; than the symbol  b  for molality,; despite the possible confusion; with mass.	9-16.a	mole per kilogram	mol/kg		
9-17 ( 8-17 )	chemical potential of substance B fr potentiel  (m) chimique du  constituant B	µ B	for a mixture of substances  i µ B   =   (  G /  n B ) T   , p , n i; where  G  is Gibbs energy ( ISO 80000-5:200 7, item 5-20.5) and  n B  is the amount of substance; B (item 9-1)	For a pure substance, µ  =  G/n  =   G m; where  G m  is the molar Gibbs energy. In a mixture,  µ B  is the partial molar Gibbs energy.	9-17.a	joule per mole	J/mol		
9-18 ( 8-18 )	absolute activity of substance B fr activité  (f) absolue du  constituant B	λ B	λ B  =  exp ( µ B /RT  ) where  µ B  is the chemical potential; of substance B (item 9-17),  R  is; the molar gas constant (item 9-42),; and  T   is thermodynamic; temperature ( ISO 80000-5:2007 ,; item 5-1)		9-18.a	one	1		See the Introduction, 0.3.2.
9-19 ( 8-19 )	partial pressure of substance B fr pression  (f) partielle du  constituant B	p B	for a gaseous mixture, p B  =  x B  ·  p; where  x B  is the amount-of-; substance fraction of substance B; (item 9-14) and  p  is the total; pressure ( ISO 80000-4:200 6, item; 4-15.1)		9-19.a	pascal	Pa		
9-20 (8-20 )	fugacity of substance B in a gaseous mixture fr fugacité  (f)  du  constituant B dans un mélange gazeux	p ˜ B ,   ( f B )	f o r   a   ga s e o u s   m i xt u r e ,   p ˜ B  is  proportional to the absolute  activity,  λ B  (item 9-18), the proportionality  factor,  which is a function of temperature  only,  being determined by the condition that, at constant temperature and  c o m po s i t i o n ,   p B / p ˜ B  ten d s   t o   1   f o r an indefinitely dilute gas	p ˜ B   =   λ B   ·     lim   ( p B / λ B ) p → 0 where  p  is total pressure.	9-20.a	pascal	Pa		
9-21  (—)	standard chemical potential of substance B fr potentiel  (m) chimique de  référence du constituant B	µ B 8	value of the chemical potential (item 9-17) at standard conditions	µ 8     =   RT   In   λ 8 µ 8 B   i s   a   fu n c t i o n   of	9-21.a	joule per mole	J/mol		
				temperature  T  at the standard	9.22.a	joule per mole	J/mol		
9-29.1 ( 8-25.1 ) 9-29.2 ( 8-25.2 ) 9-29.3 ( 8-25.3 )	activity of solvent A, relative activity of solvent A fr activité  (f)  du solvant A,  activité (f) relative du solvant A osmotic factor of solvent A, osmotic coefficient of solvent A fr facteur  (m) osmotique du  solvant A standard absolute activity of solvent A (especially in a dilute liquid solution) fr activité  (f) absolue  normale du solvant A  ( particuliè-  rement en solution liquide diluée)	a A ϕ λ 8 A	for the solvent A in a solution, ratio of the absolute activity of substance A,  λ A  (item 9-18), to t hat ,   λ ∗ A ,   o f   th e   pu re   s o l v en t   a t   t h e same temperature and pressure ϕ  =  −  ( M A  ),   b B ) − 1  ln  a A where  M A   is the molar mass (item 9-5) of the solvent A,  Σ  denotes summation over all the solutes,  b B  is the molality of   solute B (item 9-16), and  a A  is the activity of solvent A (item 9-29.1) for the solvent A in a solution, the absolute activity (item 9-18) of the pure substance A at the same temperature and at a standard  p ress ure   p 8    ( I S O   80000- 4:2006,   item 4-15.1): λ 8 A    =   λ ∗ A p 8	a A   =   λ A / λ ∗ A The name “osmotic coefficient” is generally used, although the name “osmotic factor” is more systematic. This especially applies to a dilute liquid solution. The standard pressure is 10 5  Pa.	9-29.a	one	1		See the Introduction, 0.3.2.
9-30 ( 8-26 )	osmotic pressure fr pression  (f) osmotique	Π	excess pressure required to maintain osmotic equilibrium; between a solution and the pure; solvent separated by a membrane; permeable to the solvent only		9-30.a	pascal	Pa		
9-31 ( 8-27 )	stoichiometric number of substance B fr nombre  (m) stœchio-  métrique du constituant B	ν B	number or simple fraction occurring in the expression for a chemical reaction: 0  =  Σν B B, where the symbol B denotes the reactants; and products involved in the; reaction	EXAMPLE (1/2)N 2  +  (3/2)H 2  =  NH 3 ν (N 2 )  =  − 1/2, ν (H 2 )  =  − 3/2,; ν (NH 3 )  = + 1.; The stoichiometric number is; negative for a reactant and; positive for a product.	9-31.a	one	1		See the Introduction, 0.3.2.
9-32 ( 8-28 )	affinity of a chemical   reaction fr affinité  (f)  d'une  réaction chimique	A	A  =  − Σν B µ B where  ν B  is the stoichiometric number of substance B (item 9-31) and  µ B  is the chemical potential of substance B (item 9-17); The summation goes over all substances B.	The affinity of a reaction is a measure of the “driving force” of the reaction. When it is positive, the reaction goes spontaneously from reactants to products, and when it is; negative, the reaction goes in the opposite direction.; Another way to write the; definition is:; A  =  − (  G/  ξ ) p , T; where  G  is Gibbs energy; ( ISO 80000-5:2007,  item; 5-20.5) and  ξ  is the extent of; the reaction (item 9-33).; Note that  ν B  is negative for; reactants and positive for; products.	9-32.a	joule per mole	J/mol		
9-33 ( 8-29 )	extent of reaction fr état  (m) d'avancement  d'une réaction	ξ	d n B  =  ν B  d ξ where  n B  is the amount of; substance B (item 9-1) and  ν B  is; the stoichiometric number of; substance B (item 9-31)	See remark to item 9-31.	9-33.a	mole	mol		
9-34 ( 8-30 )	standard equilibrium constant, thermodynamic equilibrium constant fr constante  (f) d'équilibre  normale	K 8	for a chemical reaction, K 8     =   Π B   ( λ 8   ) − ν B B where  Π B  denotes the product  for  a l l   s u b s t a n c e s   B ,   λ 8 B   i s   t h e  standard absolute activity of substance B (item 9-25) and  ν B  is the stoichiometric number of substance B (item 9-31)	This quantity is a function of temperature only.; Others depend on; temperature, pressure, and; composition, as follows.; One can define in an; analogous way an equilibrium; constant in terms of fugacity,; K f  , molality,  K m , etc.	9-34.a	one	1		See the Introduction, 0.3.2.
9-35	equilibrium constant on a pressure basis fr constante  (f) d'équilibre  pour les pressions	K p	K p   =   Π B ( p B ) ν B   f o r   g a s e s		9-35.a	pascal to the power sum of  stoichiometric  numbers	Pa Σν B		
9-36	equilibrium constant on a  concentration  basis fr constante  (f) d'équilibre  pour les  concentrations	K c	K c   =   Π B ( c B ) ν B   f o r   s o l ut i ons		9-36.a	mole per cubic metre to the power sum of stoichiometric numbers	(mol  ·  m − 3 ) Σν B		
9-37 ( 8-32 )	electric dipole moment of a molecule fr moment  (m) électrique  d'une molécule	p , ( µ )	E p  =  – p  ·  E where  E p  is the interaction energy ( ISO 80000-5:200 7, item 5-20.1) of the molecule with electric dipole moment  p  and an electric field with electric field strength  E; ( IEC 80000-6:2008,  item 6-10)	The moment of force  M  acting in an electric field  E  on a neutral system with dipole moment  p  is given by M  =  p  ×  E .	9-37.a	coulomb metre	C·   m		
9-38  (—)	magnetic dipole moment of a molecule fr moment  (m) magnétique  d'une molécule	m ,  µ	E m  =  – m   ·  B where  E m  is the interaction energy ( ISO 80000-5:200 7, item 5-20.1) of the molecule with magnetic dipole moment  m  and a magnetic field with magnetic flux density  B; ( IEC 80000-6:2008,  item 6-21)	The moment of force  M  acting in a magnetic flux density  B  on a neutral system with dipole moment  m  is given by M  =  m  ×  B .	9-38.a	joule per tesla ampere metre squared	J/T A·   m 2		
9-39 ( 8-33 )	electric polarizability of a molecule fr polarisabilité  (f)  électrique  d'une molécule	α	α ij   =    p i /  E j where  p i  is the cartesian; component along the  i -axis of the; electric dipole moment (item 9-37); induced by the applied electric field; strength ( IEC 80000-6:2008,  item; 6-10) acting on the molecule, and; E j  is the component along the; j -axis of this electric field strength		9-39.a	coulomb metre squared per volt	C· m 2 /V		
9-40.1 ( 8-34.1 ); 9-40.2 ( 8-34.2 ); 9-40.3 ( 8-34.3 ); 9-40.4 ( 8-34.4 )	microcanonical  partition function fr fonction  (f) de partition  micro- canonique canonical partition function fr fonction  (f) de partition  canonique grand-canonical  partition function, grand partition function fr fonction  (f) de partition  grand- canonique molecular partition  function, partition function of a molecule fr fonction  (f) de partition  moléculaire	Ω; Z ,  Q; Ξ; q	Ω  =   Σ r  1 where the sum is over all quantum states consistent with given energy, volume, external fields, and content Z   =   Σ r   e − E r / k T where the sum is over all quantum states consistent with given energy, volume, external fields, and content,  E r  is the energy ( ISO 80000-5:2007 , item 5-20.1) in the  r th quantum state,  k  is the Boltzmann constant (item 9-43), and  T  is thermodynamic temperature ( ISO 80000-5:200 7, item 5-1) Ξ   = ), Z ( N A ,   N B ,     .. . )   ·   λ N A   ·   λ N B   ·   ... A B N A ,  N B , ... where  Z ( N A ,  N B , ...) is the canonical partition function for the given number of particles A, B, …, and  λ A ,  λ B , … are the absolute activities of particles A, B, … q  =  Σ i  exp ( − ε i /kT  ) where  ε i  is the energy ( ISO 80000-5:200 7, item 5-20.1) of the  i th allowed quantum state of the molecule consistent with given volume and external fields,  k  is the Boltzmann constant (item 9-43), and  T  is thermodynamic temperature ( ISO 80000-5:200 7, item 5-1)	S  =  k  ln  Ω where  S  is the entropy; ( ISO 80000-5:2007,  item; 5-18) and  k  is the; Boltzmann constant (item; 9-43).; A  =  − kT  ln  Z where  A  is the Helmholtz; free energy; ( ISO 80000-5:2007,  item; 5-20.4).; A  −  Σ µ B n B  =  − kT  ln  Ξ where  µ B  is the chemical; potential of substance B,; n B  is the amount of; substance B,  k  is the; Boltzmann constant, and  T; is thermodynamic; temperature.	9-40.a	one	1		See the Introduction, 0.3.2.
9-41 ( 8-35 )	statistical weight fr poids  (m) statistique	g	multiplicity of quantum energy levels	Multiplicity is also known as “degeneracy”.	9-41.a	one	1		See the Introduction, 0.3.2.
9-42 ( 8-36 )	molar gas constant fr constante  (f) molaire des  gaz	R	for an ideal gas, pV m  =  RT; where  p  is pressure ( ISO 80000-4:2006,  item; 4-15.1),  V m  is molar volume (item 9-6),; and  T  is thermodynamic temperature; ( ISO 80000-5:2007 , item 5-1)	R  = 8,314 472 (15) J/(mol  ·  K); [CODATA 2006]	9-42.a	joule per mole kelvin	J/(mol· K)		
9-56 ( 8-50 )	transport number of the ion B, current fraction   of the ion B fr nombre  (m)  de  transport du constituant ionique  B	t B	t B  =  i B /i where  i B  is the electric current; ( IEC 80000-6:2008,  item 6-1); carried by the ion B and  i  is the; total electric current		9-56.a	one	1		See the Introduction, 0.3.2.
9-57 ( 8-51 )	angle of optical rotation fr angle  (m) de rotation  optique	α	angle through which plane- polarized light is rotated clockwise,; as seen when facing the light; source, in passing through an; optically active medium		9-57.a	radian	rad		
9-58 ( 8-52 )	molar optical rotatory power fr rotation  (f) spécifique  molaire	α n	α n  =  αA/n where  α  is the angle of optical; rotation (item 9-57), and  n  is the; amount of substance (item 9-1) of; the optically active component in; the path of a linearly polarized light; beam of cross-sectional area; (ISO 80000-3:2006, item 3-3)  A		9-58.a	radian square metre per mole	rad · m 2 /mol		See the Introduction, 0.3.2.
9-59 ( 8-53 )	specific optical rotatory power fr rotation  (f) spécifique  massique	α m	α m  =  αA/m where  α  is the angle of optical; rotation (item 9-57), and  m  is the; mass ( ISO 80000-4:200 6, item; 4-1) of the optically active; component in the path of a linearly; polarized light beam of cross-; sectional area (ISO 80000-3:2006,; item 3-3)  A		9-59.a	radian square metre per kilogram	rad · m 2 /kg		
