ELECTROMAGNETISM			QUANTITIES	UNITS				ELECTROMAGNETISM
6-12 ( 5-7 )	electric flux density, electric displacement fr induction   (f) électrique	D	D =  0 E + P where   0  is the electric constant (item 6-14.1),  E  is electric field strength  (item 6-10), and  P  is electric polarization (item 6-7)	The electric flux density is related to electric charge density via div  D  =   where div denotes the divergence. See  IEC 60050-121,  item 121-11-40.	6-12.a	coulomb per metre squared	C/m 2		
6-13 ( 5-9 )	capacitance fr capacité   (f)	C	C  =  Q / U where  Q  is electric charge (item 6-2)  and U  is voltage (6-11.3)	See IEC 60050-131, item 131-12-13.	6-13.a	farad	F	1 F := 1  C/V	
6-14.1 ( 5-10.2 ); 6-14.2 ( 5-10.1 )	electric constant, permittivity of vacuum fr constante   (f) électrique , permittivité  (f)  du  vide permittivity fr permittivité   (f)	ε 0; ε	          1 0         c 2 0  0 where   0  is the magnetic constant (item 6-26.1) and  c 0  is the speed of light (item 6-35.2) D =  ε E where  D  is electric flux density (item 6-12) and  E  is electric field strength (item 6-10)	ε 0   ≈ 8,854 188      10 –12  F/m; See  IEC 60050-121,; item 121-11-03.; This definition applies to an isotropic medium. For an; anisotropic medium, permittivity  is; a second order tensor.; See  IEC 60050-121,; item 121-12-12.	6-14.a	farad per metre	F/m	1 F/m = 1 C/(V ·  m)	
6-15 ( 5-11 )	relative permittivity fr permittivité   (f) relative	ε r	ε r   =   ε / ε 0 where     is permittivity (item 6-14.2)  and; ε 0   i s   t h e   e l e ct r i c   c on sta n t   ( i t e m   6- 1 4 . 1)	See  IEC 60050-121,  item 121-12-13.	6-15.a	one	1		See the introduction,  0.3.2.
6-16 ( 5-12 )	electric susceptibility fr susceptibilité   (f) électrique		P   =      E; where  P  is electric polarization (item  6-7),    0   is   the   electric   constant   (item; 6-14.1) and  E  is electric field strength (item 6-10)	       r  –  1; The definition applies to an isotropic medium. For an anisotropic medium, electric; susceptibility is a second order tensor.; See  IEC 60050-121,; item 121-12-19.	6-16.a	one	1		See the introduction,  0.3.2.
6-17 ( 5-8 )	electric flux fr flux  (m)   électrique	Ψ	      D     e n  d A S over a surface S, where  D  is electric flux  density   (item   6-12)   and   e n    d A   is   the vector surface element (I SO  80000 -3, item 3-3)	See  IEC 60050-121,  item 121-11-41.	6-17.a	coulomb	C		
6-18 ( ― )	displacement current density fr densité   (f)   de   courant   de déplacement	J D	J     D D  t where  D  is electric flux density (item 6-12) and  t  is time ( ISO 80000-3 , item 3-7)	See  IEC 60050-121,  item 121-11-42.	6-18.a	ampere per square metre	A/m 2		
6-19.1 ( ― ); 6-19.2 ( ― )	displacement current fr courant   (m)   de   déplacement total current fr courant  (m)   total	I D; I t o t ,   I t	I D        J  D     e n  d  A S over a surface S, where  J D  is displacement  current   density   (item   6-18)   and   e n    d A   is   the  vector surface element (I SO  80000 -3, item 3-3) I t o t   =   I   +   I D where  I  is electric current (item 6-1) and  I D  is displacement current (item  6-19.1)	See  IEC 60050-121,  item 121-11-43.; See  IEC 60050-121,  item 121-11-45.	6-19.a	ampere	A		
6-20 ( ― )	total current density fr densité   (f)   de   courant   total	J t o t ,   J t	J t o t   =   J   +   J D; where  J  is electric current density (item  6-8); and  J D  is displacement current density  (item; 6-18)	See  IEC 60050-121,  item 121-11-44.	6-20.a	ampere per square metre	A/m 2		
6-21 ( 5-19 )	magnetic flux density fr induction   (f) magnétique	B	F  =  q v     B; where  F  is force (I SO 80000-4 , item  4-9.1); and  v  is velocity (I SO 80000-3 , item 3-8.1) of any test particle with electric charge   q; (item 6-2)	The magnetic flux density has zero divergence,; div  B  = 0.; See  IEC 60050-121,  item 121-11-19.	6-21.a	tesla	T	1 T:= 1 N/(A ·  m)	1 T = 1  Wb/m 2
6-22.1 ( 5-20 ); 6-22.2 ( ― )	magnetic flux fr flux   (m)   magnétique ,  flux  (m)  d’induction  magnétique linked flux fr flux  (m)   totalisé	Φ; Ψ m    Ψ	         B     e n  d  A S over a surface S, where  B  is magnetic flux  density   (item   6-21)   and   e n    d A   is   vector surface element (I SO 80000-3,  item  3-3) Ψ m   =        A      d r C where  A  is magnetic vector potential (item 6-32) and d r  is line vector element of the curve C	See  IEC 60050-121,  item 121-11-21.; Line vector element  d r  is the differential of position  vector; r  (I SO 80000 -3, item; 3-1.11).; See  IEC 60050-121,  item; 121-11-24.	6-22.a	weber	Wb	1 Wb:= 1 V ·  s	
6-23 ( 5-27 )	magnetic moment, magnetic area moment fr moment   (m)   magnétique ,  moment  (m)  magnétique  ampérien	m	m   =   I   e n   A; where  I  is  electric  current  (item  6-1)  in  a  small  c l o s e d   l o op ,   e n   i s   a   u n i t   v e ct o r   pe r p e nd i c u l ar    to the  loop,  and  A  is  area (I SO 80000- 3,     item; 3-3) of the loop	The magnetic moment of a substance within a domain  is; the vector sum of the magnetic moments of all entities included in the domain.; See  IEC 60050-121,  items; 121-11-49 and 121-11-50.	6-23.a	ampere square metre	A · m 2		
6-24 ( 5-28 )	magnetization fr aimantation   (f)	M ,   H i	M  =  d m / d V where  m  is magnetic moment (item 6-23) of   a; substance in a domain with volume   V; (I SO 80000 -3, item  3-4)	See  IEC 60050-121,  item 121-11-52.	6-24.a	ampere per metre	A/m		
6-25 ( 5-17 )	magnetic field strength, magnetizing field fr champ   (m)   magnétique ,  excitation  (f)  magnétique	H	H      B       M  0 where  B  is magnetic flux density (item 6-21),  μ 0   is  the magnetic constant (item 6-26.1), and  M  is magnetization (item  6-24)	The magnetic field strength is related to the total  current; den s i t y   J t o t   ( i t e m   6-2 0 )   v i a; ro t   H   =   J t o t; See  IEC 60050-121,; item 121-11-56.	6-25.a	ampere per metre	A/m		
6-26.1 ( 5-24.2 ); 6-26.2 ( 5-24.1 )	magnetic constant, permeability of vacuum fr constante   (f) magnétique , perméabilité  (f)  du  vide permeability fr perméabilité   (f)	μ 0; μ	μ 0   =   4 π        1 0 – 7   H / m; B  =  μ H; where  B  is magnetic flux density (item 6-21) and  H  is magnetic field strength (item  6-25)	For   this   definition   of       see  item 6-1.a.; μ 0      1 ,2 5 6   6 3 7        1 0    6   H / m; See  IEC 60050-121,; item 121-11-14.; This definition applies to an isotropic medium. For an; anisotropic medium permeability is  a second order tensor.; See  IEC 60050-121,  item; 121-12-28.	6-26.a	henry per metre	H/m	1 H/m = 1 V · s/(A ·   m)	For the definition of henry see item 6-37.a.
6-27 ( 5-25 )	relative permeability fr perméabilité   (f) relative	μ r	μ r   =   μ / μ 0; where  μ  is permeability (item 6-26.2)  and; μ 0   i s   t h e   m agne t i c   c on sta n t   ( i te m   6-26 . 1)	See  IEC 60050-121,  item 121-12-29.	6-27.a	one	1		See introduction, 0.3.2.
6-28 ( 5-26 )	magnetic susceptibility fr susceptibilité   (f) magnétique	κ ,   (  m )	M  =  κ  H; where  M  is magnetization (item 6-24)  and H  is magnetic field strength (item  6-25)	κ  =   r  – 1; This definition applies to an isotropic medium. For an anisotropic medium magnetic; susceptibility is a  second; order tensor.; See  IEC 60050-121,; item 121-12-37.	6-28.a	one	1		See introduction, 0.3.2.
6-29 ( 5-29 )	magnetic polarization fr polarisation   (f) magnétique	J m	J m   =    0 M; wh e r e       i s   th e   m agne t i c   c on s t ant; (item 6-26.1),; and  M  is magnetization (item  6-24)	See  IEC 60050-121,  item 121-11-54.	6-29.a	tesla	T		
6-30 ( ― )	magnetic dipole moment fr moment  (m)  magnétique  coulombien	j m ,   j	j m   =    0 m; where   0  is the magnetic  constant; (item 6-26.1) and  m  is magnetic  moment; (item 6-23)	See  IEC 60050-121,  item 121-11-55.	6-30.a	weber metre	Wb · m		
6-31 ( ― )	coercivity fr coercitivité   (f)	H c , B	magnetic field strength (item 6-25) to  be applied to bring the magnetic flux density (item 6-21) in a substance from its  remaining magnetic flux density to  zero	See  IEC 60050-121,  item 121-12-69. Also called coercive field strength.	6-31.a	ampere per metre	A/m		
6-32 ( 5-21 )	magnetic vector potential fr potentiel   (m) vecteur  magnétique	A	B =  rot  A; where  B  is magnetic flux density (item  6-21)	The magnetic vector potential is not unique  since; any irrotational vector field can be added to it  without; changing its rotation.; See  IEC 60050-121,; item 121-11-23.	6-32.a	weber per metre	Wb/m		
6-33 ( 5-30 )	electromagnetic- energy density, volumic electro- magnetic energy fr énergie   (f)   électro-   magnétique volumique,  densité (f) d’énergie électro-  magnétique	w	w  =  (1/2)( E     D  +  B      H ); where; E  is electric field strength (item  6-10),; D  is electric flux density (item  6-12),; B  is magnetic flux density (item 6-21),  and; H  is magnetic field strength (item  6-25)	See  IEC 60050-121,  item 121-11-65.	6-33.a	joule per cubic metre	J/m 3		
6-34 ( 5-31 )	Poynting vector fr vecteur   (m)   de   Poynting	S	S  =  E     H; where  E  is electric field strength (item  6-10); and  H  is magnetic field strength (item  6-25)	See  IEC 60050-121,  item 121-11-66.	6-34.a	watt per square metre	W/m 2		
6-35.1 ( 5-32.1 ); 6-35.2 ( 5-32.2 )	phase speed of electromagnetic waves fr vitesse  (f)   de phase des ondes  électro- magnétiques speed of light, light speed fr vitesse  (f)   de   la   lumière	c; c 0	c  =  ω / k; where  ω  is angular frequency (I SO  80000 -3,; item 3-16) and  k  is angular  wavenumber; (I SO 80000 -3, item  3-19); speed of electromagnetic waves in  vacuum c 0   =   2 9 9   7 9 2   4 5 8   m / s	See  ISO 80000 -3, item 3-20.1.; For   this   value   of   c 0   see  ISO 80000- 3, item  3-1.a.; c 0      1  0  0; See  IEC 60050-111,  item; 111-13-07.	6-35.a	metre per second	m/s		
6-36 ( 5-6.3 )	source voltage, source tension fr tension   (f)   de   source	U s	voltage (item 6-11.3) between the  two terminals of a voltage source when there is   no; electric current (item 6-1) through the  source	The name “electromotive force“ with the  abbreviation; EMF and the symbol  E  is; deprecated.; See IEC 60050-131, item; 131-12-22.	6-36.a	volt	V		
6-37.1 ( ― ); 6-37.2 ( 5-18.1 ); 6-37.3 ( 5-18.2 ); 6-37.4 ( 5-18.3 )	scalar magnetic potential fr potentiel   (m)   magnétique  scalaire magnetic tension fr tension   (f) magnétique magnetomotive force fr force   (f) magnétomotrice current linkage fr courant   (m) totalisé, solénation  (f)	V m ,   φ; U m; F m; Θ	for an irrotational magnetic field  strength H   =   – gra d   V m where  H  is magnetic field strength (item  6-25) r b U m     =         H      d r r a  (  C) where  H  is magnetic field strength (item 6-25) and  r  is position vector (I SO  80000- 3, item 3-1.11) along  a  given  curve  C  from  point   a  to  point   b F m   =      H      d r C where  H  is magnetic field strength (item 6-25) and  r  is position vector (I SO  80000- 3, item 3-1.11) along a closed curve  C net electric current (item 6-1) through a surface delimited by a closed  loop	The magnetic scalar potential is not unique  since; any constant scalar field can; be added to it  without; changing its gradient.; See  IEC 60050-121,; item 121-11-58.; For an irrotational magnetic field strength this quantity  is; equal to the magnetic; potential difference.; See  IEC 60050-121,; item121-11-57.; This quantity name is under consideration. Compare; remark to item 6-36.; See  IEC 60050-121,  item; 121-11-60.; When  Θ  results from  N  (item 6-38) equal electric currents; I  (item 6-1), then  Θ  =   NI .; See  IEC 60050-121,; item 121-11-46.	6-37.a	ampere	A		
6-38 ( 5-40.1 )	number of turns in a winding fr nombre   (m)   de   tours   d’un enroulement , nombre  (m)  de  spires d’un enroulement	N	number of turns in a winding (same as the quantity name)	N  may be non-integer number, see  ISO 80000- 3,; item 3-14.	6-38.a	one	1		See introduction, 0.3.2.
6-39 ( 5-38 )	reluctance fr réluctance   (f)	R m ,   R	R m   =   U m / Φ wh e r e   U m   i s   m agne t i c   t en s i o n   ( i t e m   6-37 . 2); and  Φ  is magnetic flux (item  6-22.1)	See IEC 60050-131, item 131-12-28.	6-39.a	henry to the power minus one	H –1		
6-40 ( 5-39 )	permeance fr perméance   (f)		   =  1 / R m wh e r e   R m   i s   re l u ct an c e   ( i t e m   6-3 9 )	See IEC 60050-131, item 131-12-29.	6-40.a	henry	H		
6-41.1 ( 5-22.1 ); 6-41.2 ( 5-22.2 )	inductance, self inductance fr inductance   (f) inductance  (f) propre mutual inductance fr inductance   (f) mutuelle	L ,  L m; L mn	L  =  Ψ / I; where  I  is an electric current (item 6-1) in a thin conducting loop and  Ψ  is the linked  flux; (item 6-22.2) caused by that electric  current; L mn  =  Ψ m / I n; where  I n  is an electric current (item 6-1) in   a; thin conducting loop  n  and  Ψ m   is the linked; flux (item 6-22.2) caused by that electric current in another loop  m	The name ”self inductance“ is used for the  quantity; associated to mutual inductance when  n  =  m .; See IEC 60050-131, items; 131-12-19 and 131-12-35.; L mn  =  L nm; For two loops, the symbol  M; i s   u s e d   f o r   L 12 .; See IEC 60050-131, items 131-12-36.	6-41.a	henry	H		
6-42.1; ( 5-23.1 ); 6-42.2; ( 5-23.2 )	coupling factor fr facteur   (m)   de   couplage leakage factor fr facteur   (m)   de   dispersion	k 	for inductive coupling between two inductive elements k     L mn    / L m L n where  L m  and  L n  are their self inductances (item 6-41.1), and  L mn   is their  mutual inductance (item 6-41.2)    =   1   –   k 2 where  k  is the coupling factor (item  6-42.1)	See IEC 60050-131,; item 131-12-41.; See IEC 60050-131,; item 131-12-42.	6-42.a	one	1		See introduction, 0.3.2.
6-43 ( 5-37 )	conductivity fr conductivité   (f)	 ,  γ	J  =   E where  J  is electric current density (item 6-8) and  E  is electric field strength (item  6-10)	This definition applies to an isotropic medium. For an anisotropic medium  σ  is a second order tensor.; κ  is used in  electrochemistry.; See  IEC 60050-121,; item 121-12-03.	6-43.a	siemens per metre	S/m		For the definition of siemens, see item 6-47.a.
6-44 ( 5-36 )	resistivity fr résistivité   (f)	ρ	ρ  =  1 /  if it exists, where     is conductivity (item  6-43)	See  IEC 60050-121,  item 121-12-04.	6-44.a	ohm metre	Ω · m		For the definition of ohm, see item 6-46.a.
6-45 ( 5-35 )	power, instantaneous power fr puissance   (f),   puissance  (f)  instantanée	p	p  =  ui; where  u  is instantaneous voltage (item  6-11.3); and  i  is instantaneous electric  current; (item 6-1)	See IEC 60050-131, item 131-11-30.	6-45.a	watt	W		
6-46 ( 5-33 )	resistance fr résistance   (f)	R	for resistive component R  =  u / i; where  u  is instantaneous voltage (item  6-11.3); and  i  is instantaneous electric  current; (item 6-1)	For alternating current, see item 6-51.2. See IEC 60050-131,; item 131-12-04.	6-46.a	ohm	Ω	1 Ω := 1  V/A	
6-47 ( 5-34 )	conductance fr conductance   (f)	G	for resistive component G  =  1 / R; where  R  is resistance (item  6-46)	For alternating current, see item 6-52.2. See IEC 60050-131,; item 131-12-06.	6-47.a	siemens	S	1 S := 1/  Ω	
6-48 ( 5-43 )	phase difference fr déphasage  (m),  différence  (f)  de  phase		   =   u  –   i where   u  is the initial phase of the  voltage (item 6-11.3) and   i  is the initial phase of the electric current (item 6-1)	When u  =  Û  cos(  t  –  φ u ), i  =  Î  cos(  t  –  φ i ) where  u  is the voltage (item 6-11.3) and  i  is  the  electric; current (item 6-1),     is; angular frequency (I SO; 80000 -3, item 3-16)  and  t   is; time (I SO 80000 -3, item  3-7),; then     is phase difference.; For phase angle, see  items; 6-49 and 6-50.	6-48.a	radian	rad		See introduction, 0.3.2.
6-49 ( ― )	electric current phasor fr phaseur   (m)   de   courant   électrique	I	when  i  =  Î  cos(  t  +   ), where  i  is the electric current (item 6-1),     is  angular frequency (I SO 80000- 3, item 3-16),  t  is  time (I SO 80000 -3, item 3-7), and     is initial phase (I SO 80000 -3, item 3-5),  then; I   =   I e j α	I  is the complex representation of the electric current i  =  Î  cos(  t  +   ) j is the imaginary  unit.	6-49.a	ampere	A		
6-50 ( ― )	voltage phasor fr phaseur  (m)   de tension électrique	U	when  u  =  Û  cos(  t  +   ), where  u  is  the  voltage  (item  6-11.3),     is angular  frequency  (I SO  80000- 3,  item 3-16),  t  is  time  (I SO 80000 -3, item 3-7)  and     is  initial  phase (I SO 80000 -3, item  3-5)    then; U   =   U e j α	U  is the complex representation of the voltage u  =  Û  cos(  t  +   ) j is the imaginary  unit.	6-50.a	volt	V		
6-51.1 ( 5-44.1 ) 6-51.2 ( 5-44.3 ) 6-51.3 ( 5-44.4 ) 6-51.4 ( 5-44.2 )	impedance, complex impedance fr impédance   (f) resistance (to alternating current) fr résistance   (f)   ( en   courant   alternatif ) reactance fr réactance   (f) modulus of impedance fr module   (m)   de   l’impédance	Z R X Z	Z  =  U / I where  U  is the voltage phasor (item  6-50), and  I  is the electric current phasor (item  6-49) R  =  Re  Z where  Z  is impedance (item 6-51.1) and  Re denotes the real  part X  =  Im  Z where  Z  is impedance (item  6-51.1) and  Im denotes the imaginary  part Z  =  | Z | where  Z  is impedance (item  6-51.1)	Z  = R +  j X , where  R   is resistance (item 6-51.2)  and X  is  reactance  (item  6-51.3).  j  is  the  imaginary    unit. Z   =   | Z | e j  See IEC 60050-131, item 131-12-43. See IEC 60050-131, item 131-12-45. X  =  ωL  –    1  C See IEC 60050-131, item 131-12-46. See IEC 60050-131, item 131-12-44. Apparent impedance is defined more generally as the quotient of rms  voltage and rms electric current; it is often denoted by  Z .	6-51.a	ohm	Ω		
6-52.1 ( 5-45.1 ); 6-52.2 ( 5-45.3 ); 6-52.3 ( 5-45.4 ); 6-52.4 ( 5-45.2 )	admittance, complex admittance fr admittance   (f) conductance (for alternating current) fr conductance   (f) (en courant  alternatif) susceptance fr susceptance   (f) modulus of admittance fr module   (m)   de   l’admittance	Y G B  Y	Y  =  1 / Z where  Z  is impedance (item  6-51.1); G  =  Re  Y; where  Y  is admittance (item  6-52.1); B =  Im  Y; where  Y  is admittance (item  6-52.1); Y  = | Y |; where  Y  is admittance (item  6-52.1)	Y  = G +  j B , where  G  is conductance (item 6-52.2) and  B  is susceptance; (item 6-52.3).; j is the imaginary  unit.; Y   =   | Y | e – j φ; See IEC 60050-131,; item 131-12-51.; See IEC 60050-131, item 131-12-53.; See IEC 60050-131, item 131-12-54.; See IEC 60050-131, item 131-12-52.; Apparent admittance is; defined more generally as; the quotient of rms  electric; current voltage and rms; voltage; it is often  denoted; by  Y .	6-52.a	siemens	S		
6-53 ( 5-46 )	quality factor fr facteur   (m)   de   qualité	Q	for non-radiating systems, if  Z  =  R  +  j X ,  then Q  =  | X | /R  where  Z  is impedance; (item 6-51.1),  R  is resistance (item  6-51.2),; and  X  is reactance (item  6-51.3)		6-53.a	one	1		See introduction, 0.3.2.
6-54 ( 5-47 )	loss factor fr facteur   (m)   de   perte	d	d  =  1 / Q; where  Q  is quality factor (item  6-53)	It is also named dissipation factor.	6-54.a	one	1		See introduction, 0.3.2.
6-55 ( 5-48 )	loss angle fr angle  (m)  de   perte		   = arctan  d where  d  is loss factor (item  6-54)	See IEC 60050-131, item 131-12-49.	6-55.a	radian	rad		See introduction, 0.3.2.
6-56 ( 5-49 )	active power fr puissance   (f) active	P	T P  =   1     p  d t  T 0 where  T  is the period (I SO  80000- 3, item 3-12) and  p  is instantaneous power (item 6-45)	In complex notation, P  =  Re  S , where  S  is complex power (item 6-59).	6-56.a	watt	W		
6-57 ( 5-50.1 )	apparent power fr puissance   (f) apparente	| S |	| S |  =  UI; where  U  is rms value of voltage (item  6-11.3); and  I   is rms value of electric  current; (item 6-1)	T U    1      u   2   d t  T 0 and 1  T   2 I    T     i    d t 0 When  u  =     2  U  cos   t  and i  =     2  I  cos(  t  –   ),  then P  =  UI  cos   Q  =  UI  sin      =  cos   See IEC 60050-131, item 131-11-41.	6-57.a	volt ampere	V · A		
6-58 ( 5-51 )	power factor fr facteur   (m)   de   puissance		   =  | P | / | S |; where  P  is active power (item 6-56) and  S   is; apparent power (item  6-57)	See IEC 60050-131, item 131-11-46.	6-58.a	one	1		See introduction, 0.3.2.
6-59 ( ― )	complex power fr puissance   (f) complexe	S	S  =  UI *; where  U  is voltage phasor (item 6-50) and   I * is the complex conjugate of the current phasor (item 6-49)	S  =  P  + j Q; where  P  is active power (item 6-56) and  Q  is reactive power (item 6-60); See IEC 60050-131, item; 131-11-39.	6-59.a	volt ampere	V · A		
6-60 ( 5-50.2 )	reactive power fr puissance   (f) réactive	Q	Q  =  Im  S; where  S  is complex power (item  6-59)	See IEC 60050-131, item 131-11-44.	6-60.a; 6-60.b	volt ampere; var	V · A; var	1 var := 1 V ·  A	
6-61 ( ― )	non-active power fr puissance   (f) non active	Q 	Q '       S  2     P 2; where │ S │ is apparent power (item 6-57)   and; P  is active power (item  6-56)	See IEC 60050-131, item 131-11-43.	6-61.a	volt ampere	V · A		
6-62 ( 5-52 )	active energy fr énergie  (f)   active	W	t 2 W =      p  d t t 1 where  p  is instantaneous power (item 6-45), and the integral interval is the time  interval f ro m   t 1   t o   t 2		6-62.a; 6-62.b	joule; watt hour	J; W · h	1 W · h = 3  600  J	The multiple unit kilowatt  hour,; kW · h, is often used for electric   energy; meters.; 1 kW · h = 3,6  MJ
